127.0.0.1 - - [28/Sep/2024:06:55:16 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:55:17 +0700] "GET /Tuan03_Bai04/ HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:55:19 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:55:20 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:55:24 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:56:49 +0700] "GET /Tuan03_Bai04/ HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:56:54 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:56:58 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:58:39 +0700] "GET /Tuan03_Bai04/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:58:46 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:58:54 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:59:05 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:59:07 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:59:13 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2024:06:59:16 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [28/Sep/2024:07:02:21 +0700] "GET /Tuan03_Bai04/ShoppingCart.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [28/Sep/2024:07:02:24 +0700] "GET /Tuan03_Bai04/ModelList.jsp HTTP/1.1" 200 730
